City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Nouadhibou,MR,78.78,dust,20.931,-17.0347,El Medina
280,Abu Dhabi,AE,78.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
287,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
290,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
291,Kahului,US,76.84,light rain,20.8947,-156.47,Maui Seaside Hotel
292,Luanda,AO,82.4,few clouds,-8.8368,13.2343,Hotel Fórum
293,Rawson,AR,81.14,clear sky,-43.3002,-65.1023,Hosteria Sampedro
298,Caravelas,BR,78.98,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
299,Matara,LK,76.78,few clouds,5.9485,80.5353,Amaloh Boutique Resort
300,Bambanglipuro,ID,76.95,overcast clouds,-7.95,110.2833,Puri Brata
303,Lorengau,PG,82.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
309,Mouila,GA,76.89,moderate rain,-1.8685,11.0559,Hôtel du Lac Bleu
310,Srandakan,ID,77.11,overcast clouds,-7.9386,110.2506,Puri Brata
311,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
313,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
319,Hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
320,Meteti,PA,84.6,overcast clouds,8.4983,-77.9786,Txai Mauá
322,Soyo,AO,82.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
323,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
328,Yurimaguas,PE,77.16,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
333,Umuahia,NG,84.49,scattered clouds,5.5263,7.4896,Hotel Macbek Limited
342,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
344,Buala,SB,81.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
346,Lucea,JM,82.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
349,San Ignacio,BZ,78.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
352,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
356,Mbaiki,CF,77.83,overcast clouds,3.8678,17.9892,Motel MBM
359,Cidreira,BR,77.16,broken clouds,-30.1811,-50.2056,Hotel Castelo
363,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
364,Ballesteros,PH,77.38,broken clouds,18.4126,121.5152,De Leon Hotel
365,Manggar,ID,78.17,overcast clouds,-2.8833,108.2667,Guest Hotel
367,Contamana,PE,86.13,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
369,San Rafael,AR,83.39,broken clouds,-34.6177,-68.3301,Hotel San Rafael
372,Vung Tau,VN,78.35,overcast clouds,10.346,107.0843,Green hotel
374,Weligama,LK,76.77,scattered clouds,5.9667,80.4167,Weligama Bay Resort
